id,resource_type
6597,resource_type 8
8011,resource_type 8
2597,resource_type 8
5022,resource_type 8
6852,resource_type 8
5611,resource_type 8
14838,resource_type 8
2588,resource_type 8
4848,resource_type 8
6914,resource_type 8
5337,resource_type 8
10460,resource_type 8
15494,resource_type 8
10289,resource_type 8
8587,resource_type 8
12943,resource_type 8
590,resource_type 8
16416,resource_type 8
3399,resource_type 8
1505,resource_type 8
9446,resource_type 8
12482,resource_type 8
16538,resource_type 8
2250,resource_type 8
5259,resource_type 8
5259,resource_type 2
12751,resource_type 8
5195,resource_type 8
1233,resource_type 8
4703,resource_type 8
17508,resource_type 8
6008,resource_type 8
2906,resource_type 8
1247,resource_type 8
17909,resource_type 8
8148,resource_type 8
17595,resource_type 8
7515,resource_type 8
17041,resource_type 8
17041,resource_type 1
6692,resource_type 8
14595,resource_type 8
15952,resource_type 8
9664,resource_type 8
3952,resource_type 8
8461,resource_type 8
6743,resource_type 8
16097,resource_type 8
1235,resource_type 8
9317,resource_type 8
9651,resource_type 8
7832,resource_type 8
5280,resource_type 8
282,resource_type 8
4574,resource_type 8
2043,resource_type 8
6693,resource_type 8
16479,resource_type 8
7466,resource_type 8
4814,resource_type 8
10842,resource_type 8
10039,resource_type 8
4337,resource_type 8
4787,resource_type 8
16586,resource_type 8
8796,resource_type 8
6954,resource_type 8
17648,resource_type 8
1849,resource_type 8
16949,resource_type 8
14593,resource_type 8
12587,resource_type 8
2240,resource_type 8
5356,resource_type 8
1285,resource_type 2
17155,resource_type 2
1308,resource_type 2
3251,resource_type 2
9313,resource_type 2
14926,resource_type 2
14926,resource_type 8
17407,resource_type 2
6395,resource_type 2
16600,resource_type 2
137,resource_type 2
17255,resource_type 2
8443,resource_type 2
9291,resource_type 2
1821,resource_type 2
13270,resource_type 2
18500,resource_type 2
8774,resource_type 2
1243,resource_type 2
6474,resource_type 2
15687,resource_type 2
16351,resource_type 2
5163,resource_type 2
12650,resource_type 2
7116,resource_type 2
18189,resource_type 2
2653,resource_type 2
3331,resource_type 2
3375,resource_type 2
16056,resource_type 2
14969,resource_type 2
12825,resource_type 2
6176,resource_type 2
15850,resource_type 2
10825,resource_type 2
16628,resource_type 2
3446,resource_type 2
8716,resource_type 2
14963,resource_type 8
12318,resource_type 8
18076,resource_type 2
18076,resource_type 8
11833,resource_type 2
402,resource_type 2
1288,resource_type 2
16595,resource_type 2
18413,resource_type 2
9859,resource_type 2
2578,resource_type 2
1204,resource_type 2
4497,resource_type 2
37,resource_type 2
3629,resource_type 2
16795,resource_type 8
16106,resource_type 8
8185,resource_type 8
8235,resource_type 2
8235,resource_type 8
14315,resource_type 8
17756,resource_type 8
14562,resource_type 8
8930,resource_type 8
11231,resource_type 8
17812,resource_type 8
3112,resource_type 8
6253,resource_type 8
187,resource_type 8
10816,resource_type 8
2008,resource_type 8
10445,resource_type 8
258,resource_type 8
15834,resource_type 8
12334,resource_type 8
9644,resource_type 8
14743,resource_type 8
6208,resource_type 8
6802,resource_type 8
14860,resource_type 8
14899,resource_type 8
581,resource_type 8
10985,resource_type 8
11010,resource_type 2
722,resource_type 8
1747,resource_type 8
1349,resource_type 8
11444,resource_type 8
16517,resource_type 8
16202,resource_type 8
12511,resource_type 8
15171,resource_type 8
3879,resource_type 8
1863,resource_type 8
5142,resource_type 8
6796,resource_type 8
13838,resource_type 8
10913,resource_type 8
6880,resource_type 8
685,resource_type 8
10680,resource_type 8
13845,resource_type 2
13845,resource_type 8
17736,resource_type 8
10319,resource_type 8
10970,resource_type 8
13652,resource_type 8
10161,resource_type 2
10161,resource_type 8
725,resource_type 8
5074,resource_type 8
5924,resource_type 8
10516,resource_type 2
10516,resource_type 8
6883,resource_type 2
6883,resource_type 8
5545,resource_type 8
14433,resource_type 8
18058,resource_type 8
5834,resource_type 8
4630,resource_type 8
17414,resource_type 8
6244,resource_type 8
3158,resource_type 8
16320,resource_type 8
3465,resource_type 8
13490,resource_type 8
4628,resource_type 8
4029,resource_type 8
15057,resource_type 8
13522,resource_type 8
5254,resource_type 8
14991,resource_type 1
14991,resource_type 8
2810,resource_type 8
5025,resource_type 8
14112,resource_type 8
5352,resource_type 8
7049,resource_type 8
17758,resource_type 8
11766,resource_type 8
1574,resource_type 8
7237,resource_type 8
10902,resource_type 8
9016,resource_type 8
13955,resource_type 8
11005,resource_type 8
16584,resource_type 8
8277,resource_type 8
15081,resource_type 8
18220,resource_type 8
4595,resource_type 8
1666,resource_type 8
7585,resource_type 8
4309,resource_type 8
16809,resource_type 8
2385,resource_type 8
16139,resource_type 8
7077,resource_type 8
11828,resource_type 8
2774,resource_type 8
11037,resource_type 8
11464,resource_type 8
15801,resource_type 8
12847,resource_type 8
4002,resource_type 8
11100,resource_type 8
10511,resource_type 8
14706,resource_type 8
14706,resource_type 2
462,resource_type 8
7885,resource_type 8
12276,resource_type 8
10402,resource_type 8
3412,resource_type 8
6860,resource_type 8
11114,resource_type 8
9907,resource_type 8
4121,resource_type 8
10493,resource_type 8
11770,resource_type 8
965,resource_type 8
18004,resource_type 8
5928,resource_type 8
7405,resource_type 8
6803,resource_type 8
8764,resource_type 8
7925,resource_type 8
12798,resource_type 8
11394,resource_type 8
17869,resource_type 8
10129,resource_type 8
13354,resource_type 8
16917,resource_type 8
17425,resource_type 8
18486,resource_type 8
6909,resource_type 8
12026,resource_type 8
16064,resource_type 8
11119,resource_type 8
8378,resource_type 8
894,resource_type 8
6648,resource_type 8
372,resource_type 8
17066,resource_type 8
821,resource_type 8
608,resource_type 8
4535,resource_type 8
4640,resource_type 8
18296,resource_type 8
6904,resource_type 8
5059,resource_type 8
15102,resource_type 8
11286,resource_type 8
13438,resource_type 8
7851,resource_type 8
16336,resource_type 8
17470,resource_type 8
8388,resource_type 8
4141,resource_type 8
4163,resource_type 8
13077,resource_type 8
15343,resource_type 8
6475,resource_type 8
12214,resource_type 8
6623,resource_type 8
1551,resource_type 8
13260,resource_type 8
12932,resource_type 8
4556,resource_type 8
8556,resource_type 8
14449,resource_type 8
18376,resource_type 8
17745,resource_type 8
17963,resource_type 8
10014,resource_type 8
9879,resource_type 8
1718,resource_type 8
13376,resource_type 8
17645,resource_type 8
2214,resource_type 8
12194,resource_type 8
12607,resource_type 8
378,resource_type 8
14616,resource_type 8
1326,resource_type 8
15085,resource_type 8
6339,resource_type 8
4151,resource_type 8
17950,resource_type 8
15427,resource_type 8
200,resource_type 8
18050,resource_type 8
3547,resource_type 8
15192,resource_type 8
13832,resource_type 8
2467,resource_type 8
6369,resource_type 8
12887,resource_type 8
8366,resource_type 8
2425,resource_type 8
8106,resource_type 8
12935,resource_type 8
4623,resource_type 8
222,resource_type 8
9059,resource_type 8
15381,resource_type 8
13154,resource_type 8
665,resource_type 8
10110,resource_type 8
1716,resource_type 8
3951,resource_type 8
17731,resource_type 8
16403,resource_type 8
8501,resource_type 8
15362,resource_type 8
9870,resource_type 8
8831,resource_type 8
5961,resource_type 8
9364,resource_type 8
18490,resource_type 8
9088,resource_type 8
2865,resource_type 8
16514,resource_type 9
18077,resource_type 9
14,resource_type 9
13453,resource_type 8
12828,resource_type 8
6359,resource_type 2
5881,resource_type 2
13337,resource_type 2
14986,resource_type 8
12978,resource_type 8
1553,resource_type 8
487,resource_type 8
5559,resource_type 8
8037,resource_type 8
5027,resource_type 8
15133,resource_type 8
5068,resource_type 8
11826,resource_type 8
7409,resource_type 8
13614,resource_type 8
11313,resource_type 8
8573,resource_type 8
15618,resource_type 8
8730,resource_type 2
2841,resource_type 8
8263,resource_type 8
8193,resource_type 8
5821,resource_type 8
14864,resource_type 2
14864,resource_type 8
7818,resource_type 8
6636,resource_type 8
3113,resource_type 8
15555,resource_type 8
15974,resource_type 8
13273,resource_type 8
10465,resource_type 8
1491,resource_type 8
7546,resource_type 8
8854,resource_type 8
14462,resource_type 8
2734,resource_type 8
6446,resource_type 8
11239,resource_type 8
6193,resource_type 8
3765,resource_type 8
12944,resource_type 8
4302,resource_type 8
16468,resource_type 8
12624,resource_type 8
17530,resource_type 8
7503,resource_type 8
6457,resource_type 8
16725,resource_type 8
5029,resource_type 2
16681,resource_type 8
11843,resource_type 9
11843,resource_type 8
11843,resource_type 2
6231,resource_type 8
15803,resource_type 9
15803,resource_type 8
13480,resource_type 8
11928,resource_type 8
8963,resource_type 8
10844,resource_type 8
13067,resource_type 8
9769,resource_type 8
15970,resource_type 8
6715,resource_type 8
5206,resource_type 9
16675,resource_type 8
5468,resource_type 9
2854,resource_type 9
8225,resource_type 8
15497,resource_type 8
10940,resource_type 2
8120,resource_type 8
15689,resource_type 1
15689,resource_type 8
5597,resource_type 8
4315,resource_type 8
11976,resource_type 2
11976,resource_type 8
268,resource_type 8
11609,resource_type 8
15967,resource_type 6
15967,resource_type 8
2184,resource_type 6
2184,resource_type 8
2184,resource_type 7
17071,resource_type 7
13185,resource_type 8
13185,resource_type 10
17329,resource_type 8
17329,resource_type 10
9509,resource_type 8
9509,resource_type 6
587,resource_type 6
587,resource_type 8
14586,resource_type 6
14586,resource_type 8
3967,resource_type 6
3967,resource_type 8
4941,resource_type 4
4941,resource_type 8
16781,resource_type 6
16781,resource_type 8
15684,resource_type 2
525,resource_type 8
525,resource_type 6
17856,resource_type 8
17856,resource_type 6
6932,resource_type 8
6932,resource_type 6
9787,resource_type 8
